cik,companyName,stockSymbol
0000935036,"Aci Worldwide, Inc.",aciw
0001557746,"Aclaris Therapeutics, Inc.",acrs
0000002098,Acme United Corp,acu
0001008848,Acorda Therapeutics Inc,acor
0000884629,"Actavis, Inc.",agn
0001044435,Active Power Inc,acpw
0001429896,"Activecare, Inc.",acar
0000006955,Actuant Corp,atu
0001144215,Acuity Brands Inc,ayi
0000786947,"Acura Pharmaceuticals, Inc",acur
0000733269,Acxiom Corp,acxm
0001328143,Adamas Pharmaceuticals Inc,adms
0000865415,Adept Technology Inc,adep
0000796343,Adobe Systems Inc,adbe
0000926282,Adtran Inc,adtn
0001011060,AdvanSource Biomaterials Corp,asnb
0001669792,"AdvancePierre Foods Holdings, Inc.",apfh
0000927003,Advanced Energy Industries Inc,aeis
0000002488,Advanced Micro Devices Inc,amd
0000352991,Advanced Oxygen Technologies Inc,aoxy
0000869986,Advanced Photonix Inc,api
0001002225,Advent Software Inc /DE/,advs
0001338042,"Aegerion Pharmaceuticals, Inc.",aegr
0000785787,Aep Industries Inc,aepi
0001337553,Aerie Pharmaceuticals Inc,aeri
0001316644,"AeroGrow International, Inc.",aero
0001368622,AeroVironment Inc,avav
0001036848,Aerocentury Corp,acy
0001168213,Aeropostale Inc,aro
0000874761,Aes Corp,aes
0001113423,Aeterna Zentaris Inc.,aezs
0001122304,Aetna Inc /PA/,aet
0001499268,Affinity Gaming,afft_priv
0000913077,Affymetrix Inc,affx
0000880266,Agco Corp /DE,agco
0001708599,"AgeX Therapeutics, Inc.",
0001098972,Agenus Inc,agen
0001090872,Agilent Technologies Inc,a
0001439222,Agios Pharmaceuticals Inc,agio
0001631650,"Aimmune Therapeutics, Inc.",aimt
0000816159,Air Methods Corp,airm
0000002969,Air Products & Chemicals Inc /DE/,apd
0001403720,"AirTouch Communications, Inc.",atch
0000804212,Airgas Inc,arg
0001311523,Ajax Tocco Magnethermic CORP,
0001086222,Akamai Technologies Inc,akam
0001321834,Akers Biosciences Inc,aker
0000003116,Akorn Inc,akrx
0000897077,Alamo Group Inc,alg
0000819793,Albany International Corp /DE/,ain
0001065087,Albany Molecular Research Inc,amri
0000915913,Albemarle Corp,alb
0001368457,Alberto-Culver CO,
0001145460,Alere Inc.,alr
0001545654,"Alexander & Baldwin, Inc.",alex
0000003499,Alexanders Inc,alx
0001035443,Alexandria Real Estate Equities Inc,are
0000899866,Alexion Pharmaceuticals Inc,alxn
0000003545,Alico Inc,alco
0001097149,Align Technology Inc,algn
0001267602,Alimera Sciences Inc,alim
1734520,Alithya Group Inc,
0001362468,Allegiant Travel CO,algt
0000850693,Allergan Inc,agn
0000066756,Allete Inc,ale
0001101215,Alliance Data Systems Corp,ads
0000817135,"Alliance HealthCare Services, Inc",aiq
0000352541,Alliant Energy Corp,lnt
0001054274,"Alliqua BioMedical, Inc.",alqa
0000003982,Allis Chalmers Energy Inc.,aly
0001411207,Allison Transmission Holdings Inc,alsn
0001124804,"Allscripts Healthcare Solutions, Inc.",mdrx
0000040729,Ally Financial Inc.,ally
0000799231,Almost Family Inc,afam
0001178670,"Alnylam Pharmaceuticals, Inc.",alny
0001301063,"Alpha Natural Resources, Inc.",anr
0000884269,Alpha Pro Tech Ltd,apt
1652044,Alphabet Inc.,goog
0001518403,"Alta Mesa Holdings, LP",altamh
0001695519,AltaGas Ltd.,
0001701732,Altair Engineering Inc.,ALTR
0000768251,Altera Corp,altr
0000104777,"Alteva, Inc.",altv
0000764180,"Altria Group, Inc.",mo
0000792977,Amag Pharmaceuticals Inc.,amag
0000897448,Amarin Corp Plc\Uk,amrn
0000020639,Ambase Corp,abcp
0001162315,Ambassadors Group Inc,epax
0001002910,Ameren Corp,aee
0001488139,"Ameresco, Inc.",amrc
0000006201,American Airlines Group Inc.,aal
0001336545,"American Apparel, Inc",app
0001062231,American Axle & Manufacturing Holdings Inc,axl
0000896747,American Bio Medica Corp,abmc
0001579823,"American Brewing Company, Inc.",abrw
0001297735,American Casino & Entertainment Properties LLC,amece_priv
0000919012,American Eagle Outfitters Inc,aeo
0000004904,American Electric Power Co Inc,aep
0000004962,American Express Co,axp
0001042046,American Financial Group Inc,afg
0000005133,American Greetings Corp,am_priv
0001562401,American Homes 4 Rent,amh
0000005272,American International Group Inc,aig
0001344596,"American Railcar Industries, Inc.",arii
0001410997,"American Realty Capital Trust, Inc.",arct
0001614106,"American Renaissance Capital, Inc.",arcp_priv
0001498068,"American Renal Associates Holdings, Inc.",ara
0001525040,"American Renal Associates Holdings, Inc.",
0000277905,"American Retail Group, Inc.",argb
cr54973,"American Savings Bank, FSB",
0000005768,"American Science & Engineering, Inc.",asei
0000744825,American Shared Hospital Services,ams
0000713425,American Software Inc,amswa
0000880807,American Superconductor Corp /DE/,amsc
0001323891,"American Tire Distributors Holdings, Inc.",atd.n
0001053507,American Tower Corp /MA/,amt
0001410636,"American Water Works Company, Inc.",awk
0000794619,American Woodmark Corp,amwd
0000820027,Ameriprise Financial Inc,amp
0000351569,Ameris Bancorp,abcb
0001018979,Amerisafe Inc,amsf
0000707605,Ameriserv Financial Inc /PA/,asrv
0001140859,Amerisourcebergen Corp,abc
0001037868,Ametek Inc/,ame
0000318154,Amgen Inc,amgn
0001178879,Amicus Therapeutics Inc,fold
0001167905,"Amincor, Inc.",amncb
0001723128,"Amneal Pharmaceuticals, Inc.",amrx
0000006176,Ampco Pittsburgh Corp,ap
0001297184,"Amphastar Pharmaceuticals, Inc.",amph
0000820313,Amphenol Corp /DE/,aph
0001640313,"Amplify Snack Brands, INC",betr
0000006207,Amrep Corp.,axr
0000895930,Amsurg Corp,amsg
0000720500,Amtech Systems Inc,asys
0001365555,"Amtrust Financial Services, Inc.",afsi
0001365916,"Amyris, Inc.",amrs
0001411158,"Anacor Pharmaceuticals, Inc.",anac
0000773910,Anadarko Petroleum Corp,apc
0000940332,Anadigics Inc,anad
0000006281,Analog Devices Inc,adi
0000006284,Analogic Corp,alog
0001540755,"Anaplan, Inc.",plan
0001448301,Anchor Bancorp,ancb
0000821026,"Andersons, Inc.",ande
0001491778,"Angie's List, Inc.",angi
0001275187,Angiodynamics Inc,ango
0001668717,Anheuser-Busch InBev SA/NV,bud
0000898437,"Anika Therapeutics, Inc.",anik
0001043219,Annaly Capital Management Inc,nly
0001431897,"Annie's, Inc.",bnny
0001013462,Ansys Inc,anss
0001156039,"Anthem, Inc.",antm
0001316175,Anthera Pharmaceuticals Inc,anth
8271,Apacer Technology Inc. (宇瞻科技),
0000006769,Apache Corp,apa
1733418,Aphria Inc.,
0001324772,Apigee Corp,apic
0000006845,"Apogee Enterprises, Inc.",apog
0000320193,Apple Inc,aapl
0000862861,Appliance Recycling Centers Of America Inc /MN,arci
0000744452,Applied Dna Sciences Inc,apdn
0000109563,Applied Industrial Technologies Inc,ait
0000006951,Applied Materials Inc /DE,amat
0000711065,Applied Micro Circuits Corp,amcc
0001158114,"Applied Optoelectronics, Inc.",aaoi
0001419625,Apptio Inc,apti
0001444570,Aptalis Pharma Inc,
0000896622,Aptargroup Inc,atr
0001603978,"AquaBounty Technologies, Inc.",aqb
0001422841,AquaVenture Holdings Ltd,waas
0001398733,"Aquestive Therapeutics, Inc.",aqst
0001013238,Aradigm Corp,ardm
0001584509,Aramark,armk
0001509190,"Aratana Therapeutics, Inc.",petx
0001469443,"Arcadia Biosciences, Inc.",rkda
0001243429,ArcelorMittal,mt
0001037676,Arch Coal Inc,aci
0000007084,Archer Daniels Midland Co,adm
0001470699,"Archipelago Learning, Inc.",
0000719866,Arctic Cat Inc,acat
0001080709,Arena Pharmaceuticals Inc,arna
0001091748,"Argo Group International Holdings, Ltd.",agii
0000879796,Ari Network Services Inc /Wi,aris
0000884731,Ariad Pharmaceuticals Inc,aria
0001596532,"Arista Networks, Inc.",anet
0001736946,"Arlo Technologies, Inc.",arlo
0001655075,"Armstrong Flooring, Inc.",afi
0000007431,Armstrong World Industries Inc,awi
0001019695,Arqule Inc,arql
0001100412,Array Biopharma Inc,arry
0000819689,Arrhythmia Research Technology Inc /DE/,hrt
0001141107,Arris Group Inc,arrs
0000007536,Arrow Electronics Inc,arw
0000879407,Arrowhead Research Corp,arwr
0001419178,Artio Global Investors Inc.,art
0001173752,"Aruba Networks, Inc.",arun
0001432967,"As Seen On TV, Inc.",astv
0001144980,Asbury Automotive Group Inc,abg
0001350102,"Ascent Solar Technologies, Inc.",asti
0001604738,Ashford Inc,ainc
0001305014,Ashland Inc.,ash
0001506545,"Aspect Software Parent, Inc.",aspt
0000929940,Aspen Technology Inc /DE/,azpn
0000007789,Associated Banc-Corp,asb
cr917742,"Associated Bank, N.A.",
0000911635,Associated Estates Realty Corp,aec
0001267238,Assurant Inc,aiz
0001273813,Assured Guaranty Ltd,ago
0000945989,Astea International Inc,atea
0000792987,Astec Industries Inc,aste
0000919722,"Astex Pharmaceuticals, Inc",astx
0000008063,Astronics Corp,atro
0000884144,Asure Software Inc,asur
0001131096,Athenahealth Inc,athn
0000008177,Atlantic American Corp,aame
0001135185,Atlas Air Worldwide Holdings Inc,aaww
0000872448,Atmel Corp,atml
0000731802,Atmos Energy Corp,ato
0001323885,"AtriCure, Inc.",atrc
0000008411,Atwood Oceanics Inc,atw
0001201663,Audience Inc,adnc
0001086434,Audiocodes Ltd,audc
0000826253,Aura Systems Inc,ausi
0000810208,"AuraSound, Inc.",aruzq
0001624517,Aureus Inc,arsn
0001507858,"Austin Acquisitions, Inc",
0000885074,Authentidate Holding Corp,adat
0001023364,Autobytel Inc,abtl
0000769397,Autodesk Inc,adsk
0000008670,Automatic Data Processing Inc,adp
0000350698,"Autonation, Inc.",an
0000866787,Autozone Inc,azo
0000915912,Avalonbay Communities Inc,avb
0001303849,"Avantair, Inc",aair
0001325879,Aveo Pharmaceuticals Inc,aveo
0000008818,Avery Dennison Corp,avy
0000896841,"Avid Technology, Inc.",avid
0000104918,Avista Corp,ava
0000008858,Avnet Inc,avt
0000008868,Avon Products Inc,avp
0001015739,Aware Inc /MA/,awre
0000753048,"Axion International Holdings, Inc.",axih
0001028153,"Axion Power International, Inc.",axpw
0000805928,"AxoGen, Inc.",axgn
0001603756,"Axonics Modulation Technologies, Inc.",axnx
0001051627,Axt Inc,axti
0000008947,Azz Inc,azz
0001278027,"B&G Foods, Inc.",bgs
0001341878,"B-Scada, Inc.",scda
0000861361,B/E AEROSPACE INC,beav
0001123596,"BAB, INC.",babb
0001171032,BAKERS FOOTWEAR GROUP INC,bkrsq
0000009342,BALDOR ELECTRIC CO,
0000805792,BALDWIN TECHNOLOGY CO INC,
0001591565,"BALLY, CORP.",blyq
0001169770,"BANC OF CALIFORNIA, INC.",banc
0000842180,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",bbva
0001071371,BANCOLOMBIA SA,cib
0001109525,BANCORP RHODE ISLAND INC,
0000927971,BANK OF MONTREAL /CAN/,
0000009631,BANK OF NOVA SCOTIA,bns
0000312070,BARCLAYS BANK PLC,cape
0000312069,BARCLAYS PLC,bcs
0000756894,BARRICK GOLD CORP,abx
0001230355,"BAXANO SURGICAL, INC.",baxsq
0001409775,"BBVA COMPASS BANCSHARES, INC",bbva
0000921768,BBX CAPITAL CORP,bbx
0000718940,BCE INC,bce
0000789073,BEAM INC,beam
0001409477,"BEAUTY BRANDS GROUP, INC.",bbgr
0000840467,BECKMAN COULTER INC,bec
0001051771,BELK INC,blkib
0000759718,BERKSHIRE BANCORP INC /DE/,berk
0001081316,BERKSHIRE HATHAWAY ENERGY CO,brk.b
0000919465,BERRY PLASTICS CORP,
0001709505,BEST Inc.,best
0001655210,"BEYOND MEAT, INC.",bynd
0001407038,"BG Medicine, Inc.",bgmd
0001094831,"BGC Partners, Inc.",bgcp
0001259045,BIG HEART PET BRANDS,sjm_priv1
0001385228,"BIND Therapeutics, Inc",bind
0000842023,BIO-TECHNE Corp,tech
0001044378,BIOCEPT INC,bioc
0000822418,BIOCLINICA INC,
0001310488,"BIOFORCE NANOSCIENCES HOLDINGS, INC.",BFNH
0001590383,"BIOHITECH GLOBAL, INC.",bhtg
0000811240,"BIOLASE, INC",biol
0001443062,BIOMEDICAL TECHNOLOGY SOLUTIONS HOLDINGS INC,bmtl
0001138400,"BIOMIMETIC THERAPEUTICS, INC.",bmti
0000704384,BIOVEST INTERNATIONAL INC,bvtiq
0001179821,BIRKS GROUP INC.,bgi
0000864328,BJ SERVICES CO,
0001037461,BJS WHOLESALE CLUB INC,
0001013488,BJs RESTAURANTS INC,bjri
0001106942,BLACKBOARD INC,bbbb
0001068875,"BLUCORA, INC.",bcor
0001095600,BLUE COAT SYSTEMS INC,
0000704870,BLUE DIAMOND COAL CO,
0000012779,BLUE RIDGE REAL ESTATE CO,brre
0001511863,BLUEDATA Corp,
0001030896,BLUEFLY INC,bfly
0000778946,BLUEGREEN VACATIONS CORP,bxg
0000835729,BMC SOFTWARE INC,bmc
0001574815,"BMC STOCK HOLDINGS, INC.",stck
y91245415,BMO Financial Corp.,
cr75633,BMO Harris Bank National Association,
0000015511,BNSF RAILWAY CO,bnsf_priv
cr934329,BNY Mellon National Association,
0000033769,BOB EVANS FARMS INC,bobe
0001379246,BODY CENTRAL CORP,body
0001328581,BOISE CASCADE Co,bcc
cr339858,"BOKF, NA",
0000354655,BOLT TECHNOLOGY CORP,bolt
0001331301,"BOULDER BRANDS, INC.",bdbd
0000013573,BOWL AMERICA INC,bwl.a
0000013610,BOWNE & CO INC,bne
0001372612,BOX INC,box
0000313807,BP PLC,bp
1071438,BRASKEM SA,BRKM3
0000918946,BRIGHTPOINT INC,cell
0000820534,BRITISH TELECOMMUNICATIONS PLC /ADR,
0001104358,BROADVIEW NETWORKS HOLDINGS INC,bvwn
0000899597,BUCKEYE TECHNOLOGIES INC,bki
0000740761,BUCYRUS INTERNATIONAL INC,bucy
0000015393,BUREAU OF NATIONAL AFFAIRS INC,
0000718916,BURLINGTON COAT FACTORY WAREHOUSE CORP,
0000934612,"BURLINGTON NORTHERN SANTA FE, LLC",brlt_priv
0000015847,BUTLER NATIONAL CORP,buks
0000009092,Badger Meter Inc,bmi
0000808362,Baker Hughes Inc,bhi
0001701605,Baker Hughes a GE Co,bhge
0000009326,Balchem Corp,bcpc
0000009346,Baldwin & Lyons Inc,bwinb
0000009389,Ball Corp,bll
0000946454,"Ballantyne Strong, Inc.",btn
0001453015,Ballard Power Systems Inc.,bldpd
0000760498,Bancfirst Corp /Ok/,banf
cr940311,Banco Popular de Puerto Rico,
0000891478,"Banco Santander, S.A.",san
cr606046,BancorpSouth Bank,
0001514416,Bandwidth Inc.,band
0001632323,Bang Holdings Corp.,bxng
0001123270,Bank Mutual Corp,bkmu
0000070858,Bank Of America Corp /DE/,bac
0000046195,Bank Of Hawaii Corp,boh
0001038205,Bank Of The Ozarks Inc,ozrk
cr480228,"Bank of America, N.A.",
0001403475,Bank of Marin Bancorp,bmrc
0001390777,Bank of New York Mellon CORP,bk
cr804963,Bank of the West,
0001504008,"BankUnited, Inc.",bku
0001518222,"Bankrate, Inc.",rate
0001341470,"Banks.com, Inc.",bnnx
0001505732,"Bankwell Financial Group, Inc.",bwfg
0000009892,Bard C R Inc /Nj/,bcr
0000890491,Barnes & Noble Inc,bks
0000009984,Barnes Group Inc,b
0001348334,Barracuda Networks Inc,cuda
0001109189,Basic Energy Services Inc,bas
0000010329,Bassett Furniture Industries Inc,bset
0001659228,"Bats Global Markets, Inc.",bats
0001620546,Baxalta Inc,bxlt
0000010456,Baxter International Inc,bax
0001330421,Bazaarvoice Inc,bv
0000092230,Bb&T Corp,bbt
0001128361,Bbcn Bancorp Inc,bbcn
0001124941,Beacon Roofing Supply Inc,becn
0001423357,Beamz Interactive Inc,bzic
0000915840,Beazer Homes Usa Inc,bzh
0000010795,Becton Dickinson & Co,bdx
0000886158,Bed Bath & Beyond Inc,bbby
0000729580,Bel Fuse Inc /Nj,belfb
0000913142,Belden Inc.,bdc
0000863436,Benchmark Electronics Inc,bhe
0001431074,"Bergio International, Inc.",brgo
0001067983,Berkshire Hathaway Inc,brk.a
0001108134,Berkshire Hills Bancorp Inc,bhlb
0000764478,Best Buy Co Inc,bby
0000315858,Bfc Financial Corp,bfcf
0001324105,"Bidz.com, Inc.",
0001728599,"Big Time Holdings, Inc.",
0001381325,"BigBand Networks, Inc.",
0001275477,"Bimini Capital Management, Inc.",bmnm
0000792641,Bio Reference Laboratories Inc,brli
0001534287,BioAmber Inc.,bioa
0001289236,BioMed Realty Trust Inc,bmr
0001504167,BioPharmX Corp,bpmx
0001014739,"BioScrip, Inc.",bios
0001371128,BioSolar Inc,bsrc
0001574774,"BioTelemetry, Inc.",beat
0000720154,Bioanalytical Systems Inc,basi
0000882796,Biocryst Pharmaceuticals Inc,bcrx
0001103021,Biodelivery Sciences International Inc,bdsi
0001712641,Biofrontera AG,bfra
0000875045,Biogen Idec Inc.,biib
0000834365,Biolife Solutions Inc,blfs
0001048477,Biomarin Pharmaceutical Inc,bmrn
0000073290,Biomerica Inc,bmra
0001411690,"Bionano Genomics, Inc",bngow
0000072444,"Biota Pharmaceuticals, Inc.",bota
0000876343,Biotime Inc,btx
0000818813,Bitstream Inc.,
0000849547,Black Box Corp,bbox
0000913277,"Black Diamond, Inc.",bde
0001130464,Black Hills Corp /Sd/,bkh
0001364742,BlackRock Inc.,blk
0001280058,Blackbaud Inc,blkb
0001411488,"Blackhawk Network Holdings, Inc",hawk
0001102358,Blastgard International Inc,blga
0001000683,Blonder Tongue Laboratories Inc,bdr
0001664703,Bloom Energy Corp,be
0001589526,Blue Bird Corp,blbd
0001601545,"Blue Hills Bancorp, Inc.",bhbk
0001091171,Blue Nile Inc,nile
0001730773,Blue Star Foods Corp.,
0001392091,"Blueknight Energy Partners, L.P.",bkep
0000012927,Boeing Co,ba
0001169988,Boingo Wireless Inc,wifi
0000875357,Bok Financial Corp Et Al,bokf
0001443646,Booz Allen Hamilton Holding Corp,bah
0001277141,"Borderfree, Inc.",brdr
0000908255,Borgwarner Inc,bwa
0000949870,Boston Beer Co Inc,sam
0000821127,Boston Private Financial Holdings Inc,bpfh
0000885725,Boston Scientific Corp,bsx
0001073349,Bottomline Technologies Inc /DE/,epay
0000719135,Bovie Medical Corp,bvx
0001624512,Boxlight Corp,boxl
0000906553,Boyd Gaming Corp,byd
0000746598,Brady Corp,brc
cr852320,Branch Banking and Trust Company,
0001495479,"Bravo Brio Restaurant Group, Inc.",bbrg
0001357371,Breitburn Energy Partners LP,bbep
0001378590,"Bridgeline Digital, Inc.",blin
0001305323,Bridgepoint Education Inc,bpi
0000014177,Bridgford Foods Corp,brid
0000014195,Briggs & Stratton Corp,bgg
0001437578,Bright Horizons Family Solutions Inc.,bfam
0001313275,Brightcove Inc,bcov
0000703351,Brinker International Inc,eat
0000073887,Bristow Group Inc,brs
0001581068,Brixmor Property Group Inc.,brx
0001054374,Broadcom Corp,brcm
0001383312,"Broadridge Financial Solutions, Inc.",br
0001086909,"Broadsoft, Inc.",bsft
0000073048,Broadview Institute Inc,bvii
0000920448,Broadvision Inc,bvsn
0001120370,"Broadwind Energy, Inc.",bwen
0001009626,Brocade Communications Systems Inc,brcd
0001332349,Brookdale Senior Living Inc.,bkd
0001049782,Brookline Bancorp Inc,brkl
0000933974,Brooks Automation Inc,brks
0000079282,Brown & Brown Inc,bro
0000014930,Brunswick Corp,bc
0000802681,Bryn Mawr Bank Corp,bmtc
0001054721,Bsquare Corp /WA,bsqr
0000885245,Buckle Inc,bke
0001062449,Buffalo Wild Wings Inc,bwld
0001448597,Bullfrog Gold Corp.,bfgc
0001144519,Bunge LTD,bg
0001043277,C H Robinson Worldwide Inc,chrw
0000808064,C&D TECHNOLOGIES INC,chhp
831609,C21 Investments Inc.,
0000350199,CACHE INC,cach
0001173382,CAE INC,cae
0000016104,CAGLES INC,cagaq
0001388430,"CAI International, Inc.",cap
0000014707,CALERES INC,bws
0000812701,CALGON CARBON Corp,ccc
0001014672,CALIPER LIFE SCIENCES INC,
0000899426,CALYPTE BIOMEDICAL CORP,cbmc
0000913443,CAMBRIDGE HEART INC,camh
0001009001,CAMECO CORP,ccj
0001045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,
0001071992,CAPITAL BANK CORP,cbkn
0000017313,CAPITAL SOUTHWEST CORP,cswc
0000840264,CAPITOL BANCORP LTD,cbcrq
0001009759,CAPSTONE TURBINE Corp,cpst
0000937252,CAREADVANTAGE INC,cadv
0001457543,CAREFUSION Corp,cfn
0001125259,CARNIVAL PLC,cuk
0000017927,CARROLS CORP,
0000018061,CASCADE CORP,casc
0001225525,CASCADES INC,cas
0001433714,"CASTLIGHT HEALTH, INC.",cslt
